Date,CTDATA.Death,CTDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,1,0
2020-3-20,3,0
2020-3-21,4,0
2020-3-22,5,0
2020-3-23,10,0
2020-3-24,12,1
2020-3-25,19,3
2020-3-26,21,4
2020-3-27,27,5
2020-3-28,33,10
2020-3-29,34,12
2020-3-30,36,19
2020-3-31,69,21
2020-4-1,85,27
2020-4-2,112,27
2020-4-3,131,34
2020-4-4,165,36
2020-4-5,189,69
2020-4-6,206,85
2020-4-7,277,112
2020-4-8,277,131
2020-4-9,380,165
2020-4-10,448,189
2020-4-11,494,206
2020-4-12,554,277
2020-4-13,602,277
2020-4-14,671,380
2020-4-15,868,448
2020-4-16,971,494
2020-4-17,1036,554
2020-4-18,1036,602
2020-4-19,1086,671
2020-4-20,1331,868
2020-4-21,1423,971
2020-4-22,1544,1036
2020-4-23,1639,1036
2020-4-24,1764,1086
2020-4-25,1862,1331
2020-4-26,1924,1423
2020-4-27,1998,1544
2020-4-28,2089,1639
2020-4-29,2168,1764
2020-4-30,2257,1862
2020-5-1,2339,1924
2020-5-2,2339,1998
2020-5-3,2436,2089
2020-5-4,2495,2168
2020-5-5,2633,2257
2020-5-6,2718,2339
2020-5-7,2797,2339
2020-5-8,2874,2436
2020-5-9,2932,2495
2020-5-10,2967,2633
2020-5-11,3008,2718
2020-5-12,3041,0
2020-5-13,3125,0
2020-5-14,3219,0
2020-5-15,3285,0
2020-5-16,3339,0
2020-5-17,3408,0
2020-5-18,3449,0
2020-5-19,3472,0
2020-5-20,3529,0
2020-5-21,3582,0
2020-5-22,3637,0
2020-5-23,3675,0
2020-5-24,3693,0
2020-5-25,3742,0
2020-5-26,3769,0
2020-5-27,3803,0
2020-5-28,3826,0
2020-5-29,3868,0
2020-5-30,3912,0
2020-5-31,3944,0
2020-6-1,3964,3110
2020-6-2,3972,3139
2020-6-3,3989,3156
2020-6-4,4007,3171
2020-6-5,4038,3196
2020-6-6,4055,3218
2020-6-7,4071,3229
2020-6-8,4084,3239
2020-6-9,4097,3266
2020-6-10,4120,3283
2020-6-11,4146,3308
2020-6-12,4159,3321
2020-6-13,4186,3342
2020-6-14,4201,3355
2020-6-15,4204,3356
2020-6-16,4210,3362
2020-6-17,4219,3373
2020-6-18,4226,3378
2020-6-19,4238,3385
2020-6-20,4251,3394
2020-6-21,4260,3401
2020-6-22,4263,3403
2020-6-23,4277,3414
2020-6-24,4287,3423
2020-6-25,4298,3434
2020-6-26,4307,3440
2020-6-27,4311,3443
2020-6-28,4316,3448
2020-6-29,4320,3451
2020-6-30,4322,3453
2020-7-1,4324,3457
2020-7-2,4326,3459
2020-7-3,4335,3463
2020-7-4,4335,3463
2020-7-5,4335,3463
2020-7-6,4338,3466
2020-7-7,4338,3466
2020-7-8,4343,3471
2020-7-9,4348,3476
2020-7-10,4348,3476
2020-7-11,4348,3476
2020-7-12,4348,3476
2020-7-13,4371,3492
2020-7-14,4372,3497
2020-7-15,4380,3505
2020-7-16,4389,3515
2020-7-17,4396,3519
2020-7-18,4396,3519
2020-7-19,4396,3519
2020-7-20,4406,3525
2020-7-21,4406,3527
2020-7-22,4406,3527
2020-7-23,4410,3530
2020-7-24,4413,3531
2020-7-25,4413,3531
2020-7-26,4413,3531
2020-7-27,4418,3536
2020-7-28,4423,3541
2020-7-29,4425,3544
2020-7-30,4431,3550
2020-7-31,4432,3551
2020-8-1,4432,3551
2020-8-2,4432,3551
2020-8-3,4437,3555
2020-8-4,4437,3555
2020-8-5,4437,3555
2020-8-6,4437,3555
2020-8-7,4441,3558
2020-8-8,4441,3558
2020-8-9,4441,3558
2020-8-10,4444,3560
2020-8-11,4444,3561
2020-8-12,4450,3566
2020-8-13,4450,3566
2020-8-14,4453,3569
2020-8-15,4453,3569
2020-8-16,4453,3569
2020-8-17,4456,3572
2020-8-18,4456,3571
2020-8-19,4457,3572
2020-8-20,4458,3572
2020-8-21,4460,3574
2020-8-22,4460,3574
2020-8-23,4460,3574
2020-8-24,4460,3574
2020-8-25,4463,3580
2020-8-26,4463,3579
2020-8-27,4465,3579
2020-8-28,4465,3579
2020-8-29,4465,3579
2020-8-30,4465,3579
2020-8-31,4465,3580
2020-9-1,4466,3581
2020-9-2,4467,3582
2020-9-3,4468,3583
2020-9-4,4468,3583
2020-9-5,4468,3583
2020-9-6,4468,3583
2020-9-7,4468,3583
2020-9-8,4474,3589
2020-9-9,4474,3589
2020-9-10,4478,3593
2020-9-11,4480,3595
2020-9-12,4480,3595
2020-9-13,4480,3595
2020-9-14,4485,3590
2020-9-15,4485,3590
2020-9-16,4487,3592
2020-9-17,4488,3593
2020-9-18,4492,3597
2020-9-19,4492,3597
2020-9-20,4492,3597
2020-9-21,4495,3600
2020-9-22,4496,3601
2020-9-23,4497,3601
2020-9-24,4499,3603
2020-9-25,4501,3604
2020-9-26,4501,3604
2020-9-27,4501,3604
2020-9-28,4503,3606
2020-9-29,4505,3608
2020-9-30,4508,3610
2020-10-1,4511,3613
2020-10-2,4513,3614
2020-10-3,4513,3614
2020-10-4,4513,3614
2020-10-5,4517,3619
2020-10-6,4521,3623
2020-10-7,4522,3624
2020-10-8,4527,3629
2020-10-9,4530,3631
2020-10-10,4530,3631
2020-10-11,4530,3631
2020-10-12,4532,3633
2020-10-13,4533,3634
2020-10-14,4537,3637
2020-10-15,4540,3640
2020-10-16,4542,3641
2020-10-17,4542,3641
2020-10-18,4542,3641
2020-10-19,4554,3652
2020-10-20,4559,3658
2020-10-21,4567,3666
2020-10-22,4569,3667
2020-10-23,4577,3674
2020-10-24,4577,3674
2020-10-25,4577,3674
2020-10-26,4589,3683
2020-10-27,4595,3687
2020-10-28,4604,3697
2020-10-29,4609,3702
2020-10-30,4616,3708
2020-10-31,4616,3708
2020-11-1,4616,3708
2020-11-2,4627,3718
2020-11-3,4627,3718
2020-11-4,4645,3736
2020-11-5,4656,3744
2020-11-6,4671,3757
2020-11-7,4671,3757
2020-11-8,4671,3757
2020-11-9,4698,3779
2020-11-10,4707,3785
2020-11-11,4716,3791
2020-11-12,4726,3798
2020-11-13,4737,3807
2020-11-14,4737,3807
2020-11-15,4737,3807
2020-11-16,4759,3827
2020-11-17,4771,3839
2020-11-18,4784,3849
2020-11-19,4805,3862
2020-11-20,4828,3878
2020-11-21,4828,3878
2020-11-22,4828,3878
2020-11-23,4871,3915
2020-11-24,4881,3922
2020-11-25,4926,3957
2020-11-26,4926,3957
2020-11-27,4961,3981
2020-11-28,4961,3981
2020-11-29,4961,3981
2020-11-30,5020,4025
2020-12-1,5040,4045
2020-12-2,5091,4088
2020-12-3,5111,4112
2020-12-4,5146,4143
2020-12-5,5146,4143
2020-12-6,5146,4143
2020-12-7,5224,4212
2020-12-8,5242,4228
2020-12-9,5285,4264
2020-12-10,5327,4303
2020-12-11,5363,4332
2020-12-12,5363,4332
2020-12-13,5363,4332
2020-12-14,5444,4397
2020-12-15,5466,4414
2020-12-16,5506,4449
2020-12-17,5552,4489
2020-12-18,5581,4514
2020-12-19,5581,4514
2020-12-20,5581,4514
2020-12-21,5676,4590
2020-12-22,5703,4613
2020-12-23,5736,4641
2020-12-24,5791,4686
2020-12-25,5791,4686
2020-12-26,5791,4686
2020-12-27,5791,4686
2020-12-28,5904,4773
2020-12-29,5924,4792
2020-12-30,5964,4828
2020-12-31,5995,4854
2021-1-1,5995,4854
2021-1-2,6099,4937
2021-1-3,6099,4937
2021-1-4,6168,4997
2021-1-5,6192,5017
2021-1-6,6230,5048
2021-1-7,6287,5096
2021-1-8,6324,5127
2021-1-9,6324,5127
2021-1-10,6324,5127
2021-1-11,6416,5210
2021-1-12,6449,5236
2021-1-13,6536,5305
2021-1-14,6553,5319
2021-1-15,6594,5355
2021-1-16,6594,5355
2021-1-17,6594,5355
2021-1-18,6670,5355
2021-1-19,6682,5433
2021-1-20,6726,5470
2021-1-21,6774,5511
2021-1-22,6819,5545
2021-1-23,6819,5545
2021-1-24,6819,5545
2021-1-25,6911,5621
2021-1-26,6934,5638
2021-1-27,6976,5679
2021-1-28,7020,5718
2021-1-29,7046,5741
2021-1-30,7046,5741
2021-1-31,7046,5741
2021-2-1,7119,5806
2021-2-2,7133,5822
2021-2-3,7157,5839
2021-2-4,7185,5872
2021-2-5,7214,5895
2021-2-6,7214,5895
2021-2-7,7214,5895
2021-2-8,7282,5966
2021-2-9,7298,5979
2021-2-10,7326,5999
2021-2-11,7354,6025
2021-2-12,7381,6049
