Date,TNDATA.Death,TNDATA.DeathConfirmed
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,2,0
2020-3-24,2,0
2020-3-25,3,0
2020-3-26,3,0
2020-3-27,6,0
2020-3-28,6,0
2020-3-29,7,0
2020-3-30,13,0
2020-3-31,23,0
2020-4-1,24,0
2020-4-2,32,0
2020-4-3,37,0
2020-4-4,43,0
2020-4-5,44,0
2020-4-6,65,0
2020-4-7,72,0
2020-4-8,79,0
2020-4-9,94,0
2020-4-10,98,0
2020-4-11,101,0
2020-4-12,101,0
2020-4-13,109,0
2020-4-14,124,0
2020-4-15,135,0
2020-4-16,141,0
2020-4-17,142,0
2020-4-18,145,0
2020-4-19,148,0
2020-4-20,152,0
2020-4-21,157,0
2020-4-22,166,0
2020-4-23,170,0
2020-4-24,168,0
2020-4-25,178,0
2020-4-26,181,0
2020-4-27,184,0
2020-4-28,188,0
2020-4-29,195,0
2020-4-30,199,0
2020-5-1,204,0
2020-5-2,209,0
2020-5-3,210,0
2020-5-4,219,0
2020-5-5,226,0
2020-5-6,239,0
2020-5-7,237,0
2020-5-8,241,0
2020-5-9,242,242
2020-5-10,243,243
2020-5-11,251,251
2020-5-12,265,265
2020-5-13,273,273
2020-5-14,287,287
2020-5-15,290,290
2020-5-16,295,295
2020-5-17,298,298
2020-5-18,301,301
2020-5-19,305,305
2020-5-20,309,309
2020-5-21,313,313
2020-5-22,315,315
2020-5-23,329,329
2020-5-24,336,336
2020-5-25,338,338
2020-5-26,343,343
2020-5-27,353,353
2020-5-28,356,356
2020-5-29,360,360
2020-5-30,364,364
2020-5-31,364,364
2020-6-1,367,367
2020-6-2,381,381
2020-6-3,388,388
2020-6-4,401,401
2020-6-5,408,408
2020-6-6,417,417
2020-6-7,418,418
2020-6-8,421,421
2020-6-9,435,435
2020-6-10,436,436
2020-6-11,441,441
2020-6-12,468,447
2020-6-13,472,451
2020-6-14,475,454
2020-6-15,483,462
2020-6-16,493,472
2020-6-17,497,476
2020-6-18,509,488
2020-6-19,515,494
2020-6-20,524,503
2020-6-21,526,505
2020-6-22,531,510
2020-6-23,542,521
2020-6-24,556,535
2020-6-25,567,540
2020-6-26,577,552
2020-6-27,584,560
2020-6-28,584,560
2020-6-29,592,568
2020-6-30,604,578
2020-7-1,609,583
2020-7-2,620,594
2020-7-3,633,608
2020-7-4,637,612
2020-7-5,646,621
2020-7-6,653,628
2020-7-7,665,640
2020-7-8,685,660
2020-7-9,710,684
2020-7-10,723,697
2020-7-11,738,711
2020-7-12,741,714
2020-7-13,749,722
2020-7-14,767,740
2020-7-15,783,755
2020-7-16,796,767
2020-7-17,815,785
2020-7-18,838,807
2020-7-19,843,812
2020-7-20,847,816
2020-7-21,871,840
2020-7-22,888,855
2020-7-23,925,891
2020-7-24,938,904
2020-7-25,964,930
2020-7-26,967,933
2020-7-27,978,943
2020-7-28,978,943
2020-7-29,1020,983
2020-7-30,1033,996
2020-7-31,1060,1023
2020-8-1,1067,1030
2020-8-2,1073,1036
2020-8-3,1092,1055
2020-8-4,1117,1079
2020-8-5,1144,1104
2020-8-6,1186,1147
2020-8-7,1206,1167
2020-8-8,1215,1176
2020-8-9,1223,1184
2020-8-10,1233,1194
2020-8-11,1271,1232
2020-8-12,1289,1249
2020-8-13,1313,1273
2020-8-14,1326,1285
2020-8-15,1345,1304
2020-8-16,1366,1324
2020-8-17,1387,1345
2020-8-18,1426,1386
2020-8-19,1452,1412
2020-8-20,1488,1447
2020-8-21,1549,1508
2020-8-22,1563,1523
2020-8-23,1567,1527
2020-8-24,1588,1547
2020-8-25,1628,1587
2020-8-26,1648,1604
2020-8-27,1673,1627
2020-8-28,1701,1654
2020-8-29,1725,1677
2020-8-30,1747,1698
2020-8-31,1754,1704
2020-9-1,1781,1729
2020-9-2,1797,1743
2020-9-3,1815,1762
2020-9-4,1837,1785
2020-9-5,1862,1810
2020-9-6,1865,1814
2020-9-7,1869,1818
2020-9-8,1896,1843
2020-9-9,1931,1875
2020-9-10,1988,1923
2020-9-11,2025,1957
2020-9-12,2064,1995
2020-9-13,2078,2008
2020-9-14,2097,2026
2020-9-15,2127,2050
2020-9-16,2151,2074
2020-9-17,2164,2084
2020-9-18,2196,2116
2020-9-19,2216,2135
2020-9-20,2218,2137
2020-9-21,2233,2152
2020-9-22,2261,2178
2020-9-23,2275,2192
2020-9-24,2310,2221
2020-9-25,2352,2262
2020-9-26,2374,2281
2020-9-27,2377,2284
2020-9-28,2389,2296
2020-9-29,2420,2325
2020-9-30,2454,2356
2020-10-1,2501,2399
2020-10-2,2515,2410
2020-10-3,2560,2453
2020-10-4,2577,2469
2020-10-5,2597,2489
2020-10-6,2621,2511
2020-10-7,2642,2530
2020-10-8,2705,2591
2020-10-9,2732,2614
2020-10-10,2758,2634
2020-10-11,2767,2642
2020-10-12,2774,2649
2020-10-13,2797,2667
2020-10-14,2828,2698
2020-10-15,2864,2731
2020-10-16,2871,2738
2020-10-17,2903,2770
2020-10-18,2909,2776
2020-10-19,2922,2789
2020-10-20,2952,2817
2020-10-21,2970,2834
2020-10-22,3011,2872
2020-10-23,3076,2923
2020-10-24,3100,2944
2020-10-25,3131,2971
2020-10-26,3163,2999
2020-10-27,3207,3037
2020-10-28,3241,3067
2020-10-29,3263,3087
2020-10-30,3341,3156
2020-10-31,3353,3165
2020-11-1,3353,3165
2020-11-2,3379,3186
2020-11-3,3454,3249
2020-11-4,3478,3270
2020-11-5,3509,3297
2020-11-6,3541,3324
2020-11-7,3590,3370
2020-11-8,3595,3375
2020-11-9,3610,3388
2020-11-10,3672,3440
2020-11-11,3761,3514
2020-11-12,3788,3531
2020-11-13,3852,3583
2020-11-14,3877,3604
2020-11-15,3893,3620
2020-11-16,3923,3645
2020-11-17,3995,3705
2020-11-18,4048,3749
2020-11-19,4128,3810
2020-11-20,4202,3872
2020-11-21,4211,3880
2020-11-22,4266,3929
2020-11-23,4301,3957
2020-11-24,4374,4018
2020-11-25,4466,4099
2020-11-26,4519,4144
2020-11-27,4526,4150
2020-11-28,4541,4163
2020-11-29,4554,4173
2020-11-30,4602,4206
2020-12-1,4638,4240
2020-12-2,4688,4282
2020-12-3,4781,4359
2020-12-4,4876,4439
2020-12-5,4905,4462
2020-12-6,4943,4491
2020-12-7,5009,4544
2020-12-8,5109,4636
2020-12-9,5171,4678
2020-12-10,5240,4722
2020-12-11,5327,4787
2020-12-12,5400,4849
2020-12-13,5462,4902
2020-12-14,5541,4964
2020-12-15,5615,5022
2020-12-16,5668,5059
2020-12-17,5845,5195
2020-12-18,5960,5287
2020-12-19,5960,5287
2020-12-20,6071,5378
2020-12-21,6136,5427
2020-12-22,6269,5529
2020-12-23,6380,5612
2020-12-24,6431,5646
2020-12-25,6431,5646
2020-12-26,6443,5657
2020-12-27,6512,5708
2020-12-28,6588,5766
2020-12-29,6710,5853
2020-12-30,6810,5923
2020-12-31,6907,5990
2021-1-1,6907,5990
2021-1-2,6970,6029
2021-1-3,7025,6070
2021-1-4,7168,6182
2021-1-5,7267,6241
2021-1-6,7381,6326
2021-1-7,7492,6405
2021-1-8,7618,6491
2021-1-9,7704,6545
2021-1-10,7785,6607
2021-1-11,7865,6659
2021-1-12,8011,6757
2021-1-13,8148,6856
2021-1-14,8232,6909
2021-1-15,8311,6970
2021-1-16,8355,6987
2021-1-17,8391,7020
2021-1-18,8430,7050
2021-1-19,8470,7082
2021-1-20,8556,7134
2021-1-21,8684,7221
2021-1-22,8777,7292
2021-1-23,8819,7322
2021-1-24,8859,7351
2021-1-25,8970,7431
2021-1-26,9162,7571
2021-1-27,9316,7667
2021-1-28,9417,7737
2021-1-29,9461,7768
2021-1-30,9574,7846
2021-1-31,9650,7902
2021-2-1,9753,7975
2021-2-2,9900,8068
2021-2-3,10033,8168
2021-2-4,10202,8279
2021-2-5,10405,8414
2021-2-6,10463,8457
2021-2-7,10469,8465
2021-2-8,10566,8536
2021-2-9,10631,8586
2021-2-10,10731,8652
2021-2-11,10812,8706
2021-2-12,10893,8761
